v5.5_gene	v5.3.1	v5.5	v6
Cre06.g256750	Cre06.g256750.t1.2	Cre06.g256750.t1.2	ChCC-v11011967m.g
Cre06.g256800	Cre06.g256800.t1.3	Cre06.g256800.t2.1	ChCC-v11011969m.g
Cre06.g256850	Cre06.g256850.t1.3	Cre06.g256850.t1.1	ChCC-v11011970m.g
Cre06.g256900	Cre06.g256900.t1.3	Cre06.g256900.t1.1	ChCC-v11011971m.g
Cre06.g257000	Cre06.g257000.t1.2	Cre06.g257000.t1.2	ChCC-v11011973m.g
Cre06.g257050	Cre06.g257050.t1.3	Cre06.g257050.t1.1	ChCC-v11011975m.g
Cre06.g257100	Cre06.g257100.t1.3	Cre06.g257100.t1.1	
Cre06.g257150	Cre06.g257150.t1.2	Cre06.g257150.t1.2	ChCC-v11011980m.g
Cre06.g257250	Cre06.g257250.t1.3	Cre06.g257250.t1.1	ChCC-v11011985m.g
Cre06.g257300	Cre06.g257300.t1.1	Cre06.g257300.t1.1	ChCC-v11011986m.g
Cre06.g257351	Cre06.g257350.t1.3	Cre06.g257351.t1.1	ChCC-v11011989m.g
Cre06.g257400	Cre06.g257400.t1.2	Cre06.g257400.t1.2	ChCC-v11011990m.g
Cre06.g257450	Cre06.g257450.t1.2	Cre06.g257450.t1.2	ChCC-v11011998m.g
Cre06.g257500	Cre06.g257500.t1.2	Cre06.g257500.t1.2	ChCC-v11012007m.g
Cre06.g257550	Cre06.g257550.t1.2	Cre06.g257550.t1.2	ChCC-v11012011m.g
Cre06.g257600	Cre06.g257600.t1.3	Cre06.g257600.t1.1	ChCC-v11012013m.g
Cre06.g257601	Cre06.g257601.t1.2	Cre06.g257601.t1.2	ChCC-v11012016m.g
Cre06.g257650	Cre06.g257650.t1.2	Cre06.g257650.t1.2	ChCC-v11012015m.g
Cre06.g257700	Cre06.g257700.t1.3	Cre06.g257700.t1.1	ChCC-v11012019m.g
Cre06.g257750	Cre06.g257750.t1.3	Cre06.g257750.t1.1	ex.Cre06.g257750.t1.1.g
Cre06.g257800	Cre06.g257800.t1.3	Cre06.g257800.t1.1	ChCC-v11012026m.g
Cre06.g257850	Cre06.g257850.t1.2	Cre06.g257850.t1.2	ChCC-v11012027m.g
Cre06.g257900	Cre06.g257900.t1.3	Cre06.g257900.t1.1	ChCC-v11012029m.g
Cre06.g257950	Cre06.g257950.t1.2	Cre06.g257950.t1.2	ChCC-v11012031m.g
Cre06.g258000	Cre06.g258000.t1.2	Cre06.g258000.t1.2	ChCC-v11012033m.g
Cre06.g258100	Cre06.g258100.t1.3	Cre06.g258100.t1.1	ChCC-v11012035m.g
Cre06.g258150	Cre06.g258150.t1.3	Cre06.g258150.t1.1	ChCC-v11012038m.g
Cre06.g258200	Cre06.g258200.t1.3	Cre06.g258200.t1.1	ChCC-v11012039m.g
Cre06.g258250	Cre06.g258250.t1.3	Cre06.g258250.t1.1	ChCC-v11012042m.g
Cre06.g258300	Cre06.g258300.t1.3	Cre06.g258300.t1.1	ChCC-v11012043m.g
Cre06.g258350	Cre06.g258350.t1.3	Cre06.g258350.t1.1	ChCC-v11012045m.g
Cre06.g258363	Cre06.g258363.t1.2	Cre06.g258363.t1.2	ChCC-v11012047m.g
Cre06.g258400	Cre06.g258400.t1.2	Cre06.g258400.t1.2	ChCC-v11012048m.g
Cre06.g258450	Cre06.g258450.t1.2	Cre06.g258450.t1.2	ChCC-v11012049m.g
Cre06.g258500	Cre06.g258500.t1.3	Cre06.g258500.t1.1	ChCC-v11012050m.g
Cre06.g258550	Cre06.g258550.t1.3	Cre06.g258550.t1.1	ChCC-v11012052m.g
Cre06.g258566	Cre06.g258574.t1.2	Cre06.g258566.t1.1	
Cre06.g258583	Cre06.g258583.t1.2	Cre06.g258583.t1.2	ChCC-v11012053m.g
Cre06.g258600	Cre06.g258600.t1.2	Cre06.g258600.t2.1	ChCC-v11012055m.g
Cre06.g258650	Cre06.g258650.t1.2	Cre06.g258650.t1.2	ChCC-v11012057m.g
Cre06.g258700	Cre06.g258700.t1.3	Cre06.g258700.t1.1	ChCC-v11012058m.g
Cre06.g258733	Cre06.g258750.t1.2	Cre06.g258733.t1.1	ChCC-v11012061m.g
Cre06.g258800	Cre06.g258800.t1.3	Cre06.g258800.t1.1	ChCC-v11012064m.g
Cre06.g258850	Cre06.g258850.t1.2	Cre06.g258850.t1.2	ChCC-v11012065m.g
Cre06.g258900	Cre06.g258900.t1.2	Cre06.g258900.t1.2	ChCC-v11012066m.g
Cre06.g258950	Cre06.g258950.t1.3	Cre06.g258950.t1.1	ChCC-v11012068m.g
Cre06.g259000	Cre06.g259000.t1.2	Cre06.g259000.t1.2	ChCC-v11012069m.g
Cre06.g259050	Cre06.g259050.t1.3	Cre06.g259050.t1.1	ChCC-v11012070m.g
Cre06.g259100	Cre06.g259100.t1.3	Cre06.g259100.t1.1	ChCC-v11012071m.g
Cre06.g259150	Cre06.g259150.t1.2	Cre06.g259150.t1.2	ChCC-v11012072m.g
Cre06.g259200	Cre06.g259200.t1.3	Cre06.g259200.t1.1	ChCC-v11012073m.g
Cre06.g259250	Cre06.g259250.t1.3	Cre06.g259250.t1.1	
Cre06.g259300	Cre06.g259300.t1.2	Cre06.g259300.t1.2	
Cre06.g259350	Cre06.g259350.t1.2	Cre06.g259350.t1.2	ChCC-v11012074m.g
Cre06.g259450	Cre06.g259450.t1.2	Cre06.g259450.t1.2	ChCC-v11012078m.g
Cre06.g259500	Cre06.g259500.t1.3	Cre06.g259500.t1.1	ChCC-v11012085m.g
Cre06.g259550	Cre06.g259550.t1.2	Cre06.g259550.t1.2	ChCC-v11012086m.g
Cre06.g259600	Cre06.g259600.t1.2	Cre06.g259600.t1.1	ChCC-v11012087m.g
Cre06.g259650	Cre06.g259650.t1.2	Cre06.g259650.t1.2	ChCC-v11012088m.g
Cre06.g259700	Cre06.g259700.t1.2	Cre06.g259700.t1.2	ChCC-v11012090m.g
Cre06.g259750	Cre06.g259750.t1.3	Cre06.g259750.t1.1	ChCC-v11012093m.g
Cre06.g259800	Cre06.g259800.t1.2	Cre06.g259800.t1.2	ChCC-v11012094m.g
Cre06.g259850	Cre06.g259850.t1.2	Cre06.g259850.t1.2	ChCC-v11012096m.g
Cre06.g259900	Cre06.g259900.t1.2	Cre06.g259900.t1.2	ChCC-v11012098m.g
Cre06.g259950	Cre06.g259950.t1.3	Cre06.g259950.t1.1	ChCC-v11012100m.g
Cre06.g260000	Cre06.g260000.t1.2	Cre06.g260000.t1.1	ChCC-v11012105m.g
Cre06.g260050	Cre06.g260050.t1.2	Cre06.g260050.t1.2	ChCC-v11012107m.g
Cre06.g260100	Cre06.g260100.t1.2	Cre06.g260100.t1.2	ChCC-v11012109m.g
Cre06.g260150	Cre06.g260150.t1.2	Cre06.g260150.t1.2	ChCC-v11012110m.g
Cre06.g260200	Cre06.g260200.t1.2	Cre06.g260200.t1.2	ChCC-v11012112m.g
Cre06.g260250	Cre06.g260250.t1.2	Cre06.g260250.t1.2	ChCC-v11012113m.g
Cre06.g260300	Cre06.g260300.t1.2	Cre06.g260300.t1.2	
Cre06.g260350	Cre06.g260350.t1.2	Cre06.g260350.t1.2	ChCC-v11012114m.g
Cre06.g260400	Cre06.g260400.t1.2	Cre06.g260400.t1.2	ChCC-v11012116m.g
Cre06.g260450	Cre06.g260450.t1.2	Cre06.g260450.t1.2	ChCC-v11012120m.g
Cre06.g260500	Cre06.g260500.t1.3	Cre06.g260500.t1.1	ChCC-v11012121m.g
Cre06.g260550	Cre06.g260550.t1.3	Cre06.g260550.t1.1	ChCC-v11012122m.g
Cre06.g260600	Cre06.g260600.t1.2	Cre06.g260600.t1.2	ChCC-v11012123m.g
Cre06.g260650	Cre06.g260650.t1.3	Cre06.g260650.t1.1	ChCC-v11012126m.g
Cre06.g260700	Cre06.g260700.t1.2	Cre06.g260700.t1.2	ChCC-v11012128m.g
Cre06.g260750	Cre06.g260750.t1.3	Cre06.g260750.t1.1	ChCC-v11012131m.g
Cre06.g260800	Cre06.g260800.t1.2	Cre06.g260800.t1.2	ChCC-v11012133m.g
Cre06.g260850	Cre06.g260850.t1.2	Cre06.g260850.t1.2	ChCC-v11012134m.g
Cre06.g260900	Cre06.g260900.t1.2	Cre06.g260900.t1.2	
Cre06.g260950	Cre06.g260950.t1.2	Cre06.g260950.t1.2	ChCC-v11012138m.g
Cre06.g261000	Cre06.g261000.t1.2	Cre06.g261000.t1.2	ChCC-v11012140m.g
Cre06.g261100	Cre06.g261100.t1.2	Cre06.g261100.t1.2	ChCC-v11012145m.g
Cre06.g261123	Cre06.g261123.t1.2	Cre06.g261123.t1.2	ex.ChCC-v11012146m.g
Cre06.g261150	Cre06.g261150.t1.2	Cre06.g261150.t1.2	ChCC-v11012147m.g
Cre06.g261200	Cre06.g261200.t1.2	Cre06.g261200.t1.2	ChCC-v11012150m.g
Cre06.g261350	Cre06.g261350.t1.3	Cre06.g261350.t1.1	ChCC-v11012152m.g
Cre06.g261400	Cre06.g261400.t1.3	Cre06.g261400.t1.1	ChCC-v11012156m.g
Cre06.g261450	Cre06.g261450.t1.2	Cre06.g261450.t1.2	ChCC-v11012161m.g
Cre06.g261500	Cre06.g261500.t1.2	Cre06.g261500.t1.2	ChCC-v11012162m.g
Cre06.g261550	Cre06.g261550.t1.2	Cre06.g261550.t1.2	ChCC-v11012164m.g
Cre06.g261600	Cre06.g261600.t1.2	Cre06.g261600.t1.2	ChCC-v11012165m.g
Cre06.g261650	Cre06.g261650.t1.1	Cre06.g261650.t1.1	ChCC-v11012167m.g
Cre06.g261700	Cre06.g261700.t1.2	Cre06.g261700.t1.2	ChCC-v11012168m.g
Cre06.g261750	Cre06.g261750.t1.2	Cre06.g261750.t1.2	ChCC-v11012170m.g
Cre06.g261800	Cre06.g261800.t1.2	Cre06.g261800.t1.2	ChCC-v11012172m.g
Cre06.g261850	Cre06.g261850.t1.2	Cre06.g261850.t1.2	ChCC-v11012173m.g
Cre06.g261900	Cre06.g261900.t1.2	Cre06.g261900.t1.2	ChCC-v11012174m.g
Cre06.g262000	Cre06.g262000.t1.2	Cre06.g262000.t1.2	ChCC-v11012178m.g
Cre06.g262050	Cre06.g262050.t1.2	Cre06.g262050.t1.2	ChCC-v11012179m.g
Cre06.g262100	Cre06.g262100.t1.3	Cre06.g262100.t1.1	ChCC-v11012180m.g
Cre06.g262150	Cre06.g262150.t1.3	Cre06.g262150.t2.1	ChCC-v11012181m.g
Cre06.g262200	Cre06.g262200.t1.2	Cre06.g262200.t1.2	ChCC-v11012182m.g
Cre06.g262250	Cre06.g262250.t1.2	Cre06.g262250.t1.2	ChCC-v11012183m.g
Cre06.g262300	Cre06.g262300.t1.2	Cre06.g262300.t1.2	ChCC-v11012188m.g
Cre06.g262350	Cre06.g262350.t1.2	Cre06.g262350.t1.2	ChCC-v11012189m.g
Cre06.g262400	Cre06.g262400.t1.3	Cre06.g262400.t1.1	ChCC-v11012194m.g
Cre06.g262450	Cre06.g262450.t1.3	Cre06.g262450.t1.1	ChCC-v11012196m.g
Cre06.g262500	Cre06.g262500.t1.2	Cre06.g262500.t1.2	ChCC-v11012198m.g
Cre06.g262550	Cre06.g262550.t1.2	Cre06.g262550.t1.2	
Cre06.g262601	Cre06.g262600.t1.3	Cre06.g262601.t1.1	ChCC-v11012199m.g
Cre06.g262650	Cre06.g262650.t1.3	Cre06.g262650.t1.1	ChCC-v11012200m.g
Cre06.g262750	Cre06.g262750.t1.3	Cre06.g262750.t1.1	ChCC-v11012204m.g
Cre06.g262800	Cre06.g262800.t1.2	Cre06.g262800.t1.2	ChCC-v11012206m.g
Cre06.g262850	Cre06.g262850.t1.2	Cre06.g262850.t1.2	ChCC-v11012208m.g
Cre06.g262900	Cre06.g262900.t1.2	Cre06.g262900.t1.2	ChCC-v11012211m.g
Cre06.g262950	Cre06.g262950.t1.3	Cre06.g262950.t1.1	ChCC-v11012214m.g
Cre06.g262977	Cre06.g262977.t1.2	Cre06.g262977.t1.2	ChCC-v11012218m.g
Cre06.g263000	Cre06.g263000.t1.3	Cre06.g263000.t1.1	ChCC-v11012219m.g
Cre06.g263050	Cre06.g263050.t1.2	Cre06.g263050.t1.2	ChCC-v11012220m.g
Cre06.g263100	Cre06.g263100.t1.3	Cre06.g263100.t1.1	ChCC-v11012221m.g
Cre06.g263150	Cre06.g263150.t1.2	Cre06.g263150.t1.2	ChCC-v11012224m.g
Cre06.g263200	Cre06.g263200.t1.1	Cre06.g263200.t1.1	ChCC-v11012225m.g
Cre06.g263250	Cre06.g263250.t1.3	Cre06.g263250.t1.1	ChCC-v11012226m.g
Cre06.g263289	Cre06.g263289.t1.2	Cre06.g263289.t1.2	ChCC-v11012227m.g
Cre06.g263300	Cre06.g263300.t1.2	Cre06.g263300.t1.2	ChCC-v11012229m.g
Cre06.g263400	Cre06.g263400.t1.2	Cre06.g263400.t1.2	ChCC-v11012232m.g
Cre06.g263450	Cre06.g263450.t1.2	Cre06.g263450.t2.1	ChCC-v11012238m.g
Cre06.g263500	Cre06.g263500.t1.2	Cre06.g263500.t1.2	ChCC-v11012240m.g
Cre06.g263550	Cre06.g263550.t1.2	Cre06.g263550.t1.2	ChCC-v11012243m.g
Cre06.g263600	Cre06.g263600.t1.3	Cre06.g263600.t1.1	ChCC-v11012251m.g
Cre06.g263650	Cre06.g263650.t1.3	Cre06.g263650.t1.1	ChCC-v11012253m.g
Cre06.g263700	Cre06.g263700.t1.3	Cre06.g263700.t1.1	ChCC-v11012255m.g
Cre06.g263750	Cre06.g263750.t1.2	Cre06.g263750.t1.2	ChCC-v11012256m.g
Cre06.g263800	Cre06.g263800.t1.3	Cre06.g263800.t1.1	ChCC-v11012261m.g
Cre06.g263841	Cre06.g263841.t1.2	Cre06.g263841.t1.2	ChCC-v11012265m.g
Cre06.g263850	Cre06.g263850.t1.3	Cre06.g263850.t1.1	ChCC-v11012267m.g
Cre06.g263900	Cre06.g263900.t1.2	Cre06.g263900.t1.2	ChCC-v11012270m.g
Cre06.g263950	Cre06.g263950.t1.3	Cre06.g263950.t1.1	ChCC-v11012271m.g
Cre06.g264000	Cre06.g264000.t1.2	Cre06.g264000.t1.2	ChCC-v11012274m.g
Cre06.g264050	Cre06.g264050.t1.2	Cre06.g264050.t1.2	ChCC-v11012277m.g
Cre06.g264100	Cre06.g264100.t1.3	Cre06.g264100.t1.1	ChCC-v11012281m.g
Cre06.g264150	Cre06.g264150.t1.3	Cre06.g264150.t1.1	ChCC-v11012284m.g
Cre06.g264200	Cre06.g264200.t1.2	Cre06.g264200.t1.2	ChCC-v11012285m.g
Cre06.g264250	Cre06.g264250.t1.3	Cre06.g264250.t1.1	ChCC-v11012290m.g
Cre06.g264300	Cre06.g264300.t1.2	Cre06.g264300.t1.2	ChCC-v11012291m.g
Cre06.g264350	Cre06.g264350.t1.2	Cre06.g264350.t1.2	ChCC-v11012292m.g
Cre06.g264400	Cre06.g264400.t1.3	Cre06.g264400.t1.1	ChCC-v11012293m.g
Cre06.g264450	Cre06.g264450.t1.2	Cre06.g264450.t1.2	ChCC-v11012295m.g
Cre06.g264500	Cre06.g264500.t1.2	Cre06.g264500.t1.2	ChCC-v11012301m.g
Cre06.g264550	Cre06.g264550.t1.2	Cre06.g264550.t1.2	ChCC-v11012302m.g
Cre06.g264600	Cre06.g264600.t1.2	Cre06.g264600.t1.2	ChCC-v11012304m.g
Cre06.g264700	Cre06.g264700.t1.2	Cre06.g264700.t1.2	ChCC-v11012306m.g
Cre06.g264800	Cre06.g264800.t1.2	Cre06.g264800.t1.2	ChCC-v11012308m.g
Cre06.g264850	Cre06.g264850.t1.3	Cre06.g264850.t1.1	ChCC-v11012309m.g
Cre06.g264900	Cre06.g264900.t1.1	Cre06.g264900.t1.1	ChCC-v11012310m.g
Cre06.g264950	Cre06.g264950.t1.2	Cre06.g264950.t1.2	ChCC-v11012311m.g
Cre06.g265000	Cre06.g265000.t1.2	Cre06.g265000.t1.2	ChCC-v11012313m.g
Cre06.g265050	Cre06.g265050.t1.2	Cre06.g265050.t1.2	ChCC-v11012314m.g
Cre06.g265100	Cre06.g265100.t1.3	Cre06.g265100.t1.1	ChCC-v11012315m.g
Cre06.g265150	Cre06.g265150.t1.3	Cre06.g265150.t1.1	ChCC-v11012316m.g
Cre06.g265200	Cre06.g265200.t1.2	Cre06.g265200.t1.2	ChCC-v11012318m.g
Cre06.g265300	Cre06.g265300.t1.2	Cre06.g265300.t1.2	ChCC-v11012320m.g
Cre06.g265350	Cre06.g265350.t1.2	Cre06.g265350.t1.2	ChCC-v11012321m.g
Cre06.g265400	Cre06.g265400.t1.2	Cre06.g265400.t1.2	ChCC-v11012322m.g
Cre06.g265500	Cre06.g265500.t1.2	Cre06.g265500.t1.2	ex.Cre06.g265500.t1.2.g
Cre06.g265550	Cre06.g265550.t1.2	Cre06.g265550.t1.2	ChCC-v11012328m.g
Cre06.g265652	Cre06.g265700.t1.2	Cre06.g265652.t1.1	
Cre06.g265750	Cre06.g265750.t1.3	Cre06.g265750.t1.1	ChCC-v11012335m.g
Cre06.g265800	Cre06.g265800.t1.2	Cre06.g265800.t1.2	ChCC-v11012337m.g
Cre06.g265850	Cre06.g265850.t1.3	Cre06.g265850.t1.1	ChCC-v11012339m.g
Cre06.g265900	Cre06.g265900.t1.2	Cre06.g265900.t1.2	ChCC-v11012340m.g
Cre06.g265950	Cre06.g265950.t1.3	Cre06.g265950.t1.1	ChCC-v11012342m.g
Cre06.g266000	Cre06.g266000.t1.2	Cre06.g266000.t1.2	ChCC-v11012349m.g
Cre06.g266100	Cre06.g266100.t1.3	Cre06.g266100.t1.1	ChCC-v11012352m.g
Cre06.g266150	Cre06.g266150.t1.2	Cre06.g266150.t1.2	ChCC-v11012353m.g
Cre06.g266200	Cre06.g266200.t1.2	Cre06.g266200.t2.1	
Cre06.g266300	Cre06.g266300.t1.2	Cre06.g266300.t1.2	ChCC-v11012374m.g
Cre06.g266350	Cre06.g266350.t1.3	Cre06.g266350.t1.1	ChCC-v11012375m.g
Cre06.g266383	Cre06.g266400.t1.3	Cre06.g266383.t1.1	ChCC-v11012376m.g
Cre06.g266416	Cre06.g266425.t1.2	Cre06.g266416.t1.1	
Cre06.g266450	Cre06.g266450.t1.2	Cre06.g266450.t1.2	ChCC-v11012379m.g
Cre06.g266500	Cre06.g266500.t1.2	Cre06.g266500.t1.2	ChCC-v11012380m.g
Cre06.g266550	Cre06.g266550.t1.2	Cre06.g266550.t1.2	ChCC-v11012382m.g
Cre06.g266600	Cre06.g266600.t1.2	Cre06.g266600.t1.2	ChCC-v11012383m.g
Cre06.g266650	Cre06.g266650.t1.2	Cre06.g266650.t1.2	ex.ChCC-v11012384m.g
Cre06.g266750	Cre06.g266750.t1.2	Cre06.g266750.t1.2	ChCC-v11012386m.g
Cre06.g266800	Cre06.g266800.t1.2	Cre06.g266800.t1.1	ChCC-v11012387m.g
Cre06.g266850	Cre06.g266850.t1.2	Cre06.g266850.t1.1	ChCC-v11012389m.g
Cre06.g266900	Cre06.g266900.t1.3	Cre06.g266900.t1.1	ChCC-v11012393m.g
Cre06.g266950	Cre06.g266950.t1.2	Cre06.g266950.t1.1	ChCC-v11012395m.g
Cre06.g267000	Cre06.g267000.t1.1	Cre06.g267000.t1.1	ChCC-v11012399m.g
Cre06.g267050	Cre06.g267050.t1.2	Cre06.g267050.t1.2	ChCC-v11012401m.g
Cre06.g267100	Cre06.g267100.t1.2	Cre06.g267100.t1.2	ChCC-v11012402m.g
Cre06.g267150	Cre06.g267150.t1.2	Cre06.g267150.t1.2	ChCC-v11012403m.g
Cre06.g267200	Cre06.g267200.t1.2	Cre06.g267200.t1.2	ChCC-v11012404m.g
Cre06.g267250	Cre06.g267250.t1.3	Cre06.g267250.t1.1	ChCC-v11012407m.g
Cre06.g267300	Cre06.g267300.t1.2	Cre06.g267300.t1.2	ChCC-v11012411m.g
Cre06.g267350	Cre06.g267350.t1.2	Cre06.g267350.t1.2	ChCC-v11012414m.g
Cre06.g267400	Cre06.g267400.t1.2	Cre06.g267400.t1.2	ChCC-v11012416m.g
Cre06.g267500	Cre06.g267500.t1.2	Cre06.g267500.t1.2	ChCC-v11012418m.g
Cre06.g267550	Cre06.g267550.t1.2	Cre06.g267550.t1.2	ChCC-v11012422m.g
Cre06.g267600	Cre06.g267600.t1.2	Cre06.g267600.t2.1	ChCC-v11012423m.g
Cre06.g267650	Cre06.g267650.t1.2	Cre06.g267650.t1.2	ChCC-v11012424m.g
Cre06.g267700	Cre06.g267700.t1.2	Cre06.g267700.t1.2	ChCC-v11012426m.g
Cre06.g267750	Cre06.g267750.t1.2	Cre06.g267750.t1.2	ChCC-v11012427m.g
Cre06.g267800	Cre06.g267800.t1.3	Cre06.g267800.t2.1	ChCC-v11012430m.g
Cre06.g267850	Cre06.g267850.t1.2	Cre06.g267850.t1.2	ChCC-v11012432m.g
Cre06.g267900	Cre06.g267900.t1.2	Cre06.g267900.t1.2	ChCC-v11012435m.g
Cre06.g267950	Cre06.g267950.t1.2	Cre06.g267950.t1.2	ChCC-v11012436m.g
Cre06.g268000	Cre06.g268000.t1.2	Cre06.g268000.t1.2	ChCC-v11012437m.g
Cre06.g268100	Cre06.g268100.t1.2	Cre06.g268100.t1.2	ChCC-v11012439m.g
Cre06.g268150	Cre06.g268150.t1.3	Cre06.g268150.t1.1	ChCC-v11012440m.g
Cre06.g268200	Cre06.g268200.t1.2	Cre06.g268200.t1.2	ChCC-v11012441m.g
Cre06.g268250	Cre06.g268250.t1.2	Cre06.g268250.t1.2	ChCC-v11012445m.g
Cre06.g268300	Cre06.g268300.t1.2	Cre06.g268300.t1.2	ChCC-v11012446m.g
Cre06.g268350	Cre06.g268350.t1.2	Cre06.g268350.t1.2	ChCC-v11012447m.g
Cre06.g268400	Cre06.g268400.t1.2	Cre06.g268400.t1.2	ChCC-v11012448m.g
Cre06.g268450	Cre06.g268450.t1.3	Cre06.g268450.t1.1	ChCC-v11012449m.g
Cre06.g268501	Cre06.g268500.t1.3	Cre06.g268501.t1.1	ChCC-v11012450m.g
Cre06.g268600	Cre06.g268600.t1.2	Cre06.g268600.t1.2	ChCC-v11012454m.g
Cre06.g268650	Cre06.g268650.t1.3	Cre06.g268650.t2.1	ChCC-v11012455m.g
Cre06.g268700	Cre06.g268700.t1.3	Cre06.g268700.t1.1	ChCC-v11012457m.g
Cre06.g268750	Cre06.g268750.t1.2	Cre06.g268750.t1.2	ChCC-v11012460m.g
Cre06.g268800	Cre06.g268800.t1.2	Cre06.g268800.t1.2	ChCC-v11012461m.g
Cre06.g268850	Cre06.g268850.t1.3	Cre06.g268850.t2.1	ChCC-v11012462m.g
Cre06.g268900	Cre06.g268900.t1.2	Cre06.g268900.t1.2	ChCC-v11012463m.g
Cre06.g268925	Cre06.g268937.t1.2	Cre06.g268925.t1.1	
Cre06.g268950	Cre06.g268950.t1.2	Cre06.g268950.t1.2	ChCC-v11012465m.g
Cre06.g269000	Cre06.g269000.t1.2	Cre06.g269000.t1.2	ChCC-v11012469m.g
Cre06.g269050	Cre06.g269050.t1.2	Cre06.g269050.t1.2	ChCC-v11012470m.g
Cre06.g269100	Cre06.g269100.t1.3	Cre06.g269100.t1.1	ChCC-v11012475m.g
Cre06.g269150	Cre06.g269150.t1.3	Cre06.g269150.t1.1	ChCC-v11012476m.g
Cre06.g269200	Cre06.g269200.t1.3	Cre06.g269200.t1.1	ChCC-v11012483m.g
Cre06.g269250	Cre06.g269250.t1.2	Cre06.g269250.t1.2	ChCC-v11012484m.g
Cre06.g269300	Cre06.g269300.t1.2	Cre06.g269300.t1.2	ChCC-v11012485m.g
Cre06.g269350	Cre06.g269350.t1.2	Cre06.g269350.t1.2	ChCC-v11012486m.g
Cre06.g269450	Cre06.g269450.t1.2	Cre06.g269450.t1.2	ChCC-v11012488m.g
Cre06.g269550	Cre06.g269550.t1.3	Cre06.g269550.t1.1	ChCC-v11012492m.g
Cre06.g269650	Cre06.g269650.t1.2	Cre06.g269650.t1.2	ChCC-v11012495m.g
Cre06.g269700	Cre06.g269700.t1.2	Cre06.g269700.t1.2	ChCC-v11012496m.g
Cre06.g269752	Cre06.g269750.t1.3	Cre06.g269752.t1.2	ChCC-v11012499m.g
Cre06.g269850	Cre06.g269850.t1.3	Cre06.g269850.t1.1	
Cre06.g269865	Cre06.g269865.t1.2	Cre06.g269865.t3.1	ChCC-v11012502m.g
Cre06.g269950	Cre06.g269950.t1.2	Cre06.g269950.t1.2	ChCC-v11012505m.g
Cre06.g270000	Cre06.g270000.t1.3	Cre06.g270000.t1.1	ex.Cre06.g270000.t1.1.g
Cre06.g270050	Cre06.g270050.t1.3	Cre06.g270050.t1.1	ChCC-v11012507m.g
Cre06.g270100	Cre06.g270100.t1.3	Cre06.g270100.t1.1	ChCC-v11012510m.g
Cre06.g270150	Cre06.g270150.t1.1	Cre06.g270150.t1.1	ChCC-v11012512m.g
Cre06.g270200	Cre06.g270200.t1.3	Cre06.g270200.t1.1	ChCC-v11012513m.g
Cre06.g270250	Cre06.g270250.t1.3	Cre06.g270250.t1.1	ChCC-v11012517m.g
Cre06.g270300	Cre06.g270300.t1.3	Cre06.g270300.t1.1	ChCC-v11012519m.g
Cre06.g270400	Cre06.g270400.t1.2	Cre06.g270400.t1.2	ChCC-v11012525m.g
Cre06.g270500	Cre06.g270500.t1.3	Cre06.g270500.t1.1	ChCC-v11012530m.g
Cre06.g270550	Cre06.g270550.t1.2	Cre06.g270550.t1.2	ChCC-v11012541m.g
Cre06.g270600	Cre06.g270600.t1.3	Cre06.g270600.t1.1	ChCC-v11012542m.g
Cre06.g270650	Cre06.g270650.t1.2	Cre06.g270650.t1.2	ChCC-v11012544m.g
Cre06.g270700	Cre06.g270700.t1.3	Cre06.g270700.t1.1	ChCC-v11012545m.g
Cre06.g270750	Cre06.g270750.t1.1	Cre06.g270750.t1.1	ChCC-v11012549m.g
Cre06.g270800	Cre06.g270800.t1.2	Cre06.g270800.t1.2	ChCC-v11012550m.g
Cre06.g270850	Cre06.g270850.t1.2	Cre06.g270850.t1.2	ChCC-v11012552m.g
Cre06.g270900	Cre06.g270900.t1.2	Cre06.g270900.t1.2	ChCC-v11012553m.g
Cre06.g270950	Cre06.g270950.t1.2	Cre06.g270950.t1.2	ChCC-v11012554m.g
Cre06.g271000	Cre06.g271000.t1.2	Cre06.g271000.t1.2	ChCC-v11012557m.g
Cre06.g271050	Cre06.g271050.t1.3	Cre06.g271050.t1.1	ChCC-v11012559m.g
Cre06.g271100	Cre06.g271100.t1.1	Cre06.g271100.t1.1	ChCC-v11012561m.g
Cre06.g271150	Cre06.g271150.t1.3	Cre06.g271150.t1.1	ChCC-v11012565m.g
Cre06.g271188	Cre06.g271188.t1.2	Cre06.g271188.t1.2	ChCC-v11012566m.g
Cre06.g271200	Cre06.g271200.t1.2	Cre06.g271200.t1.2	ChCC-v11012567m.g
Cre06.g271250	Cre06.g271250.t1.2	Cre06.g271250.t1.2	ChCC-v11012571m.g
Cre06.g271300	Cre06.g271300.t1.2	Cre06.g271300.t1.2	ChCC-v11012572m.g
Cre06.g271350	Cre06.g271350.t1.2	Cre06.g271350.t1.2	ChCC-v11012573m.g
Cre06.g271400	Cre06.g271400.t1.3	Cre06.g271400.t1.1	ChCC-v11012575m.g
Cre06.g271450	Cre06.g271450.t1.3	Cre06.g271450.t1.1	ChCC-v11012576m.g
Cre06.g271500	Cre06.g271500.t1.2	Cre06.g271500.t1.2	ChCC-v11012578m.g
Cre06.g271550	Cre06.g271550.t1.2	Cre06.g271550.t1.2	
Cre06.g271600	Cre06.g271600.t1.3	Cre06.g271600.t1.1	ChCC-v11012580m.g
Cre06.g271650	Cre06.g271650.t1.3	Cre06.g271650.t1.1	ChCC-v11012581m.g
